,x,y
387,0.39,3.72
388,0.39,3.84
389,0.39,3.96
390,0.39,4.08
391,0.39,4.2
392,0.39,4.32
393,0.39,4.44
394,0.39,4.56
395,0.39,4.68
396,0.39,4.8
397,0.39,4.92
398,0.39,5.04
399,0.39,5.16
400,0.39,5.28
401,0.39,5.4
402,0.39,5.52
403,0.39,5.64
404,0.39,5.76
405,0.39,5.88
406,0.39,6.0
407,0.39,6.12
408,0.52,-6.0
409,0.52,-5.88
410,0.52,-5.76
411,0.52,-5.64
412,0.52,-5.52
413,0.52,-5.4
414,0.52,-5.28
415,0.52,-5.16
416,0.52,-5.04
417,0.52,-4.92
418,0.52,-4.8
419,0.52,-4.68
420,0.52,-4.56
421,0.52,-4.44
422,0.52,-4.32
423,0.52,-4.2
424,0.52,-4.08
425,0.52,-3.96
426,0.52,-3.84
427,0.52,-3.72
428,0.52,-3.6
429,0.52,-3.48
430,0.52,-3.36
431,0.52,-3.24
432,0.52,-3.12
433,0.52,-3.0
434,0.52,-2.88
435,0.52,-2.76
436,0.52,-2.64
437,0.52,-2.52
438,0.52,-2.4
439,0.52,-2.28
440,0.52,-2.16
441,0.52,-2.04
442,0.52,-1.92
443,0.52,-1.8
444,0.52,-1.68
445,0.52,-1.56
446,0.52,-1.44
447,0.52,-1.32
448,0.52,-1.2
449,0.52,-1.08
450,0.52,-0.96
451,0.52,-0.84
452,0.52,-0.72
453,0.52,-0.6
454,0.52,-0.48
455,0.52,-0.36
456,0.52,-0.24
457,0.52,-0.12
458,0.52,0.0
459,0.52,0.12
460,0.52,0.24
461,0.52,0.36
462,0.52,0.48
463,0.52,0.6
464,0.52,0.72
465,0.52,0.84
466,0.52,0.96
467,0.52,1.08
468,0.52,1.2
469,0.52,1.32
470,0.52,1.44
471,0.52,1.56
472,0.52,1.68
473,0.52,1.8
474,0.52,1.92
475,0.52,2.04
476,0.52,2.16
477,0.52,2.28
478,0.52,2.4
479,0.52,2.52
480,0.52,2.64
481,0.52,2.76
482,0.52,2.88
483,0.52,3.0
484,0.52,3.12
485,0.52,3.24
486,0.52,3.36
487,0.52,3.48
488,0.52,3.6
489,0.52,3.72
490,0.52,3.84
491,0.52,3.96
492,0.52,4.08
493,0.52,4.2
494,0.52,4.32
495,0.52,4.44
496,0.52,4.56
497,0.52,4.68
498,0.52,4.8
499,0.52,4.92
500,0.52,5.04
501,0.52,5.16
502,0.52,5.28
503,0.52,5.4
504,0.52,5.52
505,0.52,5.64
506,0.52,5.76
507,0.52,5.88
508,0.52,6.0
509,0.52,6.12
510,0.65,-6.0
511,0.65,-5.88
512,0.65,-5.76
513,0.65,-5.64
514,0.65,-5.52
515,0.65,-5.4
516,0.65,-5.28
517,0.65,-5.16
518,0.65,-5.04
519,0.65,-4.92
520,0.65,-4.8
521,0.65,-4.68
522,0.65,-4.56
523,0.65,-4.44
524,0.65,-4.32
525,0.65,-4.2
526,0.65,-4.08
527,0.65,-3.96
528,0.65,-3.84
529,0.65,-3.72
530,0.65,-3.6
531,0.65,-3.48
532,0.65,-3.36
533,0.65,-3.24
534,0.65,-3.12
535,0.65,-3.0
536,0.65,-2.88
537,0.65,-2.76
538,0.65,-2.64
539,0.65,-2.52
540,0.65,-2.4
541,0.65,-2.28
542,0.65,-2.16
543,0.65,-2.04
544,0.65,-1.92
545,0.65,-1.8
546,0.65,-1.68
547,0.65,-1.56
548,0.65,-1.44
549,0.65,-1.32
550,0.65,-1.2
551,0.65,-1.08
552,0.65,-0.96
553,0.65,-0.84
554,0.65,-0.72
555,0.65,-0.6
556,0.65,-0.48
557,0.65,-0.36
558,0.65,-0.24
559,0.65,-0.12
560,0.65,0.0
561,0.65,0.12
562,0.65,0.24
563,0.65,0.36
564,0.65,0.48
565,0.65,0.6
566,0.65,0.72
567,0.65,0.84
568,0.65,0.96
569,0.65,1.08
570,0.65,1.2
571,0.65,1.32
572,0.65,1.44
573,0.65,1.56
574,0.65,1.68
575,0.65,1.8
576,0.65,1.92
577,0.65,2.04
578,0.65,2.16
579,0.65,2.28
580,0.65,2.4
581,0.65,2.52
582,0.65,2.64
583,0.65,2.76
584,0.65,2.88
585,0.65,3.0
586,0.65,3.12
587,0.65,3.24
588,0.65,3.36
589,0.65,3.48
590,0.65,3.6
591,0.65,3.72
592,0.65,3.84
593,0.65,3.96
594,0.65,4.08
595,0.65,4.2
596,0.65,4.32
597,0.65,4.44
598,0.65,4.56
599,0.65,4.68
600,0.65,4.8
601,0.65,4.92
602,0.65,5.04
603,0.65,5.16
604,0.65,5.28
605,0.65,5.4
606,0.65,5.52
607,0.65,5.64
608,0.65,5.76
609,0.65,5.88
610,0.65,6.0
611,0.65,6.12
612,0.78,-6.0
613,0.78,-5.88
614,0.78,-5.76
615,0.78,-5.64
616,0.78,-5.52
617,0.78,-5.4
618,0.78,-5.28
619,0.78,-5.16
620,0.78,-5.04
621,0.78,-4.92
622,0.78,-4.8
623,0.78,-4.68
624,0.78,-4.56
625,0.78,-4.44
626,0.78,-4.32
627,0.78,-4.2
628,0.78,-4.08
629,0.78,-3.96
630,0.78,-3.84
631,0.78,-3.72
632,0.78,-3.6
633,0.78,-3.48
634,0.78,-3.36
635,0.78,-3.24
636,0.78,-3.12
637,0.78,-3.0
638,0.78,-2.88
639,0.78,-2.76
640,0.78,-2.64
641,0.78,-2.52
642,0.78,-2.4
643,0.78,-2.28
644,0.78,-2.16
645,0.78,-2.04
646,0.78,-1.92
647,0.78,-1.8
648,0.78,-1.68
649,0.78,-1.56
650,0.78,-1.44
651,0.78,-1.32
652,0.78,-1.2
653,0.78,-1.08
654,0.78,-0.96
655,0.78,-0.84
656,0.78,-0.72
657,0.78,-0.6
658,0.78,-0.48
659,0.78,-0.36
660,0.78,-0.24
661,0.78,-0.12
662,0.78,0.0
663,0.78,0.12
664,0.78,0.24
665,0.78,0.36
666,0.78,0.48
667,0.78,0.6
668,0.78,0.72
669,0.78,0.84
670,0.78,0.96
671,0.78,1.08
672,0.78,1.2
673,0.78,1.32
674,0.78,1.44
675,0.78,1.56
676,0.78,1.68
677,0.78,1.8
678,0.78,1.92
679,0.78,2.04
680,0.78,2.16
681,0.78,2.28
682,0.78,2.4
683,0.78,2.52
684,0.78,2.64
685,0.78,2.76
686,0.78,2.88
687,0.78,3.0
688,0.78,3.12
689,0.78,3.24
690,0.78,3.36
691,0.78,3.48
692,0.78,3.6
693,0.78,3.72
694,0.78,3.84
695,0.78,3.96
696,0.78,4.08
697,0.78,4.2
698,0.78,4.32
699,0.78,4.44
700,0.78,4.56
701,0.78,4.68
702,0.78,4.8
703,0.78,4.92
704,0.78,5.04
705,0.78,5.16
706,0.78,5.28
707,0.78,5.4
708,0.78,5.52
709,0.78,5.64
710,0.78,5.76
711,0.78,5.88
712,0.78,6.0
713,0.78,6.12
714,0.91,-6.0
715,0.91,-5.88
716,0.91,-5.76
717,0.91,-5.64
718,0.91,-5.52
719,0.91,-5.4
720,0.91,-5.28
721,0.91,-5.16
722,0.91,-5.04
723,0.91,-4.92
724,0.91,-4.8
725,0.91,-4.68
726,0.91,-4.56
727,0.91,-4.44
728,0.91,-4.32
729,0.91,-4.2
730,0.91,-4.08
731,0.91,-3.96
732,0.91,-3.84
733,0.91,-3.72
734,0.91,-3.6
735,0.91,-3.48
736,0.91,-3.36
737,0.91,-3.24
738,0.91,-3.12
739,0.91,-3.0
740,0.91,-2.88
741,0.91,-2.76
742,0.91,-2.64
743,0.91,-2.52
744,0.91,-2.4
745,0.91,-2.28
746,0.91,-2.16
747,0.91,-2.04
748,0.91,-1.92
749,0.91,-1.8
750,0.91,-1.68
751,0.91,-1.56
752,0.91,-1.44
753,0.91,-1.32
754,0.91,-1.2
755,0.91,-1.08
756,0.91,-0.96
757,0.91,-0.84
758,0.91,-0.72
759,0.91,-0.6
760,0.91,-0.48
761,0.91,-0.36
762,0.91,-0.24
763,0.91,-0.12
764,0.91,0.0
765,0.91,0.12
766,0.91,0.24
767,0.91,0.36
768,0.91,0.48
769,0.91,0.6
770,0.91,0.72
771,0.91,0.84
772,0.91,0.96
773,0.91,1.08
774,0.91,1.2
775,0.91,1.32
776,0.91,1.44
777,0.91,1.56
778,0.91,1.68
779,0.91,1.8
780,0.91,1.92
781,0.91,2.04
782,0.91,2.16
783,0.91,2.28
784,0.91,2.4
785,0.91,2.52
786,0.91,2.64
787,0.91,2.76
788,0.91,2.88
789,0.91,3.0
790,0.91,3.12
791,0.91,3.24
792,0.91,3.36
793,0.91,3.48
794,0.91,3.6
795,0.91,3.72
796,0.91,3.84
797,0.91,3.96
798,0.91,4.08
799,0.91,4.2
800,0.91,4.32
801,0.91,4.44
802,0.91,4.56
803,0.91,4.68
804,0.91,4.8
805,0.91,4.92
806,0.91,5.04
807,0.91,5.16
808,0.91,5.28
809,0.91,5.4
810,0.91,5.52
811,0.91,5.64
812,0.91,5.76
813,0.91,5.88
814,0.91,6.0
815,0.91,6.12
816,1.04,-6.0
817,1.04,-5.88
818,1.04,-5.76
819,1.04,-5.64
820,1.04,-5.52
821,1.04,-5.4
822,1.04,-5.28
823,1.04,-5.16
824,1.04,-5.04
825,1.04,-4.92
826,1.04,-4.8
827,1.04,-4.68
828,1.04,-4.56
829,1.04,-4.44
830,1.04,-4.32
831,1.04,-4.2
832,1.04,-4.08
833,1.04,-3.96
834,1.04,-3.84
835,1.04,-3.72
836,1.04,-3.6
837,1.04,-3.48
838,1.04,-3.36
839,1.04,-3.24
840,1.04,-3.12
841,1.04,-3.0
842,1.04,-2.88
843,1.04,-2.76
844,1.04,-2.64
845,1.04,-2.52
846,1.04,-2.4
847,1.04,-2.28
848,1.04,-2.16
849,1.04,-2.04
850,1.04,-1.92
851,1.04,-1.8
852,1.04,-1.68
853,1.04,-1.56
854,1.04,-1.44
855,1.04,-1.32
856,1.04,-1.2
857,1.04,-1.08
858,1.04,-0.96
859,1.04,-0.84
860,1.04,-0.72
861,1.04,-0.6
862,1.04,-0.48
863,1.04,-0.36
864,1.04,-0.24
865,1.04,-0.12
866,1.04,0.0
867,1.04,0.12
868,1.04,0.24
869,1.04,0.36
870,1.04,0.48
871,1.04,0.6
872,1.04,0.72
873,1.04,0.84
874,1.04,0.96
875,1.04,1.08
876,1.04,1.2
877,1.04,1.32
878,1.04,1.44
879,1.04,1.56
880,1.04,1.68
881,1.04,1.8
882,1.04,1.92
883,1.04,2.04
884,1.04,2.16
885,1.04,2.28
886,1.04,2.4
887,1.04,2.52
888,1.04,2.64
889,1.04,2.76
890,1.04,2.88
891,1.04,3.0
892,1.04,3.12
893,1.04,3.24
894,1.04,3.36
895,1.04,3.48
896,1.04,3.6
897,1.04,3.72
898,1.04,3.84
899,1.04,3.96
900,1.04,4.08
901,1.04,4.2
902,1.04,4.32
903,1.04,4.44
904,1.04,4.56
905,1.04,4.68
906,1.04,4.8
907,1.04,4.92
908,1.04,5.04
909,1.04,5.16
910,1.04,5.28
911,1.04,5.4
912,1.04,5.52
913,1.04,5.64
914,1.04,5.76
915,1.04,5.88
916,1.04,6.0
917,1.04,6.12
918,1.17,-6.0
919,1.17,-5.88
920,1.17,-5.76
921,1.17,-5.64
922,1.17,-5.52
923,1.17,-5.4
924,1.17,-5.28
925,1.17,-5.16
926,1.17,-5.04
927,1.17,-4.92
928,1.17,-4.8
929,1.17,-4.68
930,1.17,-4.56
931,1.17,-4.44
932,1.17,-4.32
933,1.17,-4.2
934,1.17,-4.08
935,1.17,-3.96
936,1.17,-3.84
937,1.17,-3.72
938,1.17,-3.6
939,1.17,-3.48
940,1.17,-3.36
941,1.17,-3.24
942,1.17,-3.12
943,1.17,-3.0
944,1.17,-2.88
945,1.17,-2.76
946,1.17,-2.64
947,1.17,-2.52
948,1.17,-2.4
949,1.17,-2.28
950,1.17,-2.16
951,1.17,-2.04
952,1.17,-1.92
953,1.17,-1.8
954,1.17,-1.68
955,1.17,-1.56
956,1.17,-1.44
957,1.17,-1.32
958,1.17,-1.2
959,1.17,-1.08
960,1.17,-0.96
961,1.17,-0.84
962,1.17,-0.72
963,1.17,-0.6
964,1.17,-0.48
965,1.17,-0.36
966,1.17,-0.24
967,1.17,-0.12
968,1.17,0.0
969,1.17,0.12
970,1.17,0.24
971,1.17,0.36
972,1.17,0.48
973,1.17,0.6
974,1.17,0.72
975,1.17,0.84
976,1.17,0.96
977,1.17,1.08
978,1.17,1.2
979,1.17,1.32
980,1.17,1.44
981,1.17,1.56
982,1.17,1.68
983,1.17,1.8
984,1.17,1.92
985,1.17,2.04
986,1.17,2.16
987,1.17,2.28
988,1.17,2.4
989,1.17,2.52
990,1.17,2.64
991,1.17,2.76
992,1.17,2.88
993,1.17,3.0
994,1.17,3.12
995,1.17,3.24
996,1.17,3.36
997,1.17,3.48
998,1.17,3.6
999,1.17,3.72
1000,1.17,3.84
1001,1.17,3.96
1002,1.17,4.08
1003,1.17,4.2
1004,1.17,4.32
1005,1.17,4.44
1006,1.17,4.56
1007,1.17,4.68
1008,1.17,4.8
1009,1.17,4.92
1010,1.17,5.04
1011,1.17,5.16
1012,1.17,5.28
1013,1.17,5.4
1014,1.17,5.52
1015,1.17,5.64
1016,1.17,5.76
1017,1.17,5.88
1018,1.17,6.0
1019,1.17,6.12
1020,1.3,-6.0
1021,1.3,-5.88
1022,1.3,-5.76
1023,1.3,-5.64
1024,1.3,-5.52
1025,1.3,-5.4
1026,1.3,-5.28
1027,1.3,-5.16
1028,1.3,-5.04
