,x,y,DoseRate
236,4.68,6,8.712663485853012
237,4.8100000000000005,6,8.81484802589421
238,4.94,6,8.915971423292923
239,5.07,6,9.015881766873914
240,5.2,6,9.114427145461956
241,5.33,6,9.211455647881817
242,5.46,6,9.306815362958265
243,5.59,6,9.400354379516065
244,5.720000000000001,6,9.491920786379987
245,5.8500000000000005,6,9.5813626723748
246,5.98,6,9.66852812632527
247,6.11,6,9.75326523705617
248,6.24,6,9.83542209339226
249,6.37,6,9.914846784158318
250,6.5,6,9.991387398179103
251,6.63,6,10.064892024279388
252,6.76,6,10.135208751283944
253,6.890000000000001,6,10.202185668017535
254,7.0200000000000005,6,10.265670863304926
255,7.15,6,10.325512425970892
256,7.28,6,10.381558444840199
257,7.41,6,10.43365700873761
258,7.54,6,10.4816562064879
259,7.67,6,10.525404126915834
260,7.800000000000001,6,10.564748858846183
261,7.930000000000001,6,10.599538491103711
262,8.06,6,10.629621112513188
263,8.19,6,10.654844811899384
264,8.32,6,10.675057678087065
265,8.450000000000001,6,10.690107799900996
266,8.58,6,10.699843266165951
267,8.71,6,10.704112165706697
268,8.84,6,10.702762587348001
269,8.97,6,10.69564261991463
270,9.1,6,10.68260035223135
271,9.23,6,10.663483873122939
272,9.36,6,10.638141271414156
273,9.49,6,10.60642063592977
274,9.620000000000001,6,10.568170055494551
275,9.75,6,10.523237618933269
276,9.88,6,10.471471415070688
277,10.01,6,10.412719532731582
278,10.14,6,10.346830060740714
279,10.27,6,10.273651087922854
280,10.4,6,10.193030703102767
281,10.530000000000001,6,10.104816995105228
282,10.66,6,10.008858052755002
283,10.790000000000001,6,9.905001964876853
284,10.92,6,9.793096820295556
285,11.05,6,9.672990707835869
286,11.18,6,9.544531716322574
287,11.31,6,9.407567934580424
288,11.440000000000001,6,9.261947451434203
289,11.57,6,9.10751835570867
290,11.700000000000001,6,8.944128736228592
291,11.83,6,8.771626681818741
292,11.96,6,8.589860281303885
293,12.09,6,8.398677623508789
294,12.22,6,8.197926797258226
295,12.35,6,7.987455891376958
296,12.48,6,7.767112994689758
297,12.610000000000001,6,7.536746196021391
298,12.74,6,7.29620358419663
299,12.870000000000001,6,7.04533324804023
